Date Posted,Title,Journal,Authors,Link,Abstract,Text,Twitter
"June 19, 2016",BlastPhyMe: A toolkit for rapid generation and analysis of protein-coding sequence datasets,Pre print,"[(Schott, Ryan K,  University of Toronto), (Gow, Daniel,  University of Toronto), (Chang, Belinda SW,  University of Toronto)]",https://doi.org/10.1101/059881 ,"SUMMARY: We present BlastPhyMe (BLAST, Phylogenies, and Molecular Evolution) a new application to facilitate the fast and easy generation and analysis of protein-coding sequence datasets. The application uses a portable database framework to manage and organize sequences along with a graphical user interface (GUI) that makes the application extremely easy to use. BlastPhyMe utilizes several existing services and applications in a unique way that save researchers considerable time when building and analyzing protein-coding datasets. The application consists of two modules that can be used separately or together. The first module enables the assembly of coding sequence datasets. BLAST searches can be used to obtain all related sequences of interest from NCBI. Full GenBank records are saved within the database and coding sequences are automatically extracted. A feature of particular note is that sequences can be sorted based on NCBI taxonomic hierarchy before export to MEGA for visualization. The application provides GUIs for automatic alignment of sequences with the popular tools MUSCLE and PRANK, as well as for reconstructing phylogenetic trees using PhyML. The second module incorporates selection analyses using codon-based likelihood methods. The alignments and phylogenetic trees generated with the dataset module, or those generated elsewhere, can be used to run the models implemented in the codeml PAML package. A GUI allows easy selection of models and parameters. Importantly, replicate analyses with different parameter starting values can be automatically performed in order to ensure selection of the best-fitting model. Multiple analyses can be run simultaneously based on the number of processor cores available, while additional analyses will be run iteratively until completed. Results are saved within the database and can be exported to publication-ready Excel tables, which further automatically compute the appropriate likelihood ratio test between models in order to determine statistical significance. Future updates will add additional options for phylogenetic reconstruction (eg, MrBayes) and selection analyses (eg, HYPHY). BlastPhyMe saves researches of all bioinformatics experience levels considerable time by automating the numerous tasks required for the generation and analysis of protein-coding sequence datasets using a straightforward graphical interface.
AVAILABILITY: Installation package and source code available from http://blastphyme.codeplex.com
CONTACT: ryan.schott@utoronto.ca",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/Pre print/Pre print1697.pdf,"[( 27 Jul 2016 , 1), ( 12 Jul 2016 , 1), ( 20 Jun 2016 , 18), ( 22 Jun 2016 , 3)]"
"June 19, 2016","16S rRNA amplicon sequencing for epidemiological surveys of bacteria in wildlife: the importance of cleaning post-sequencing data before estimating positivity, prevalence and co-infection",mSystems,"[(Galan, Maxime,  INRA, CBGP, Montferrier sur Lez, France), (Razzauti, Maria,  INRA, CBGP, Montferrier sur Lez, France), (Bard, Emilie,  INRA, EpiA, Clermont-Ferrand, France), (Bernard, Carine,  INRA, Sigenae, France), (Brouat, Nathalie,  Ird, CBGP, Montferrier sur Lez, France), (Charbonnel, Alexandre,  INRA, CBGP, Montferrier sur Lez, France), (Dehne-Garcia, Anne,  INRA, CBGP, Montferrier sur Lez, France), (Loiseau, Caroline,  INRA, CBGP, Montferrier sur Lez, France), (Tatard, Lucie,  INRA, CBGP, Montferrier sur Lez, France), (Tamisier, Muriel,  INRA, CBGP, Montferrier sur Lez, France), (Vayssier-Taussat, Helene,  INRA, Bipar, Maisons-Alfort, France), (Vignes, Jean Francois,  CIRAD, AGAP, Montpellier, France)]",https://doi.org/10.1101/039826 ,"Several recent public health crises have shown that the surveillance of zoonotic agents in wildlife is important to prevent pandemic risks. Rodents are intermediate hosts for numerous zoonotic bacteria. High-throughput sequencing (HTS) technologies are very useful for the detection and surveillance of zoonotic bacteria, but rigorous experimental processes are required for the use of these cheap and effective tools in such epidemiological contexts. In particular, HTS introduces biases into the raw dataset that might lead to incorrect interpretations. We describe here a procedure for cleaning data before estimating reliable biological parameters, such as bacterial positivity, prevalence and coinfection, by 16S rRNA amplicon sequencing on the MiSeq platform. This procedure, applied to 711 commensal rodents collected from 24 villages in Senegal, Africa, detected several emerging bacterial genera, some in high prevalence, while never before reported for West Africa. This study constitutes a step towards the use of HTS to improve our understanding of the risk of zoonotic disease transmission posed by wildlife, by providing a new strategy for the use of HTS platforms to monitor both bacterial diversity and infection dynamics in wildlife. In the future, this approach could be adapted for the monitoring of other microbes such as protists, fungi, and even viruses.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/mSystems/mSystems5.pdf,"[( 28 Jun 2016 , 1), ( 18 Feb 2016 , 15), ( 10 Mar 2016 , 1), ( 25 Apr 2016 , 1), ( 02 May 2016 , 2), ( 17 Feb 2016 , 5), ( 22 Feb 2016 , 1), ( 17 Mar 2016 , 1), ( 03 Jul 2016 , 1), ( 31 May 2016 , 5), ( 21 Feb 2016 , 3), ( 09 Mar 2016 , 6), ( 28 Mar 2016 , 2), ( 27 Feb 2016 , 4)]"
"June 19, 2016",The Neuro Bureau ADHD-200 Preprocessed Repository,NeuroImage,"[(Bellec, Pierre,  Department of Computer Science and Operations Research, Montreal University, Montreal, CA), (Chu, Carlton,  Google DeepMind, London, UK), (Chouinard-Decorte, Francois,  Integrated Program in Neuroscience, McGill University, Montreal, CA), (Benhajali, Yassine,  Department of Anthropology, Montreal University, Montreal, CA), (Margulies, Daniel S,  Max Planck Institute for Human Cognitive and Brain Sciences, Leipzig, Germany), (Craddock, Cameron R,  Center for the Developing Brain, Child Mind Institute, New York, NY, USA)]",https://doi.org/10.1101/037044 ,"In 2011, the ""ADHD-200 Global Competition"" was held with the aim of identifying biomarkers of attention-deficit/hyperactivity disorder from resting-state functional magnetic resonance imaging (rs-fMRI) and structural MRI (s-MRI) data collected on 973 individuals. Statisticians and computer scientists were potentially the most qualified for the machine learning aspect of the competition, but generally lacked the specialized skills to implement the necessary steps of data preparation for rs-fMRI. Realizing this barrier to entry, the Neuro Bureau prospectively collaborated with all competitors by preprocessing the data and sharing these results at the Neuroimaging Informatics Tools and Resources Clearinghouse (NITRC) (\url{http://www.nitrc.org/frs/?group_id=383}). This ""ADHD-200 Preprocessed"" release included multiple analytical pipelines to cater to different philosophies of data analysis. The processed derivatives included denoised and registered 4D fMRI volumes, regional time series extracted from brain parcellations, maps of 10 intrinsic connectivity networks, fractional amplitude of low frequency fluctuation, and regional homogeneity, along with grey matter density maps. The data was used by several teams who competed in the ADHD-200 Global Competition, including the winning entry by a group of biostaticians. To the best of our knowledge, the ADHD-200 Preprocessed release was the first large public resource of preprocessed resting-state fMRI and structural MRI data, and remains to this day the only resource featuring a battery of alternative processing paths.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/NeuroImage/NeuroImage17.pdf,"[( 18 Jan 2016 , 11), ( 17 Nov 2016 , 2), ( 17 Jan 2016 , 4), ( 23 Nov 2016 , 2), ( 02 Apr 2016 , 1)]"
"June 19, 2016",Emergence of wheat blast in Bangladesh was caused by a South American lineage of Magnaporthe oryzae,BMC Biology,"[(Islam, Tofazzal,  Dept. of Biotechnology, Bangabandhu Sheikh Mujibur Rahman Ag Univ, Gazipur, Bangladesh), (Croll, Daniel,  Plant Pathology, Institute of Integrative Biology, ETH Zurich, 8092 Zurich, Switzerland), (Gladieux, Pierre,  INRA, UMR 385 BGPI, Montpellier, France), (Soanes, Darren,  College of Life and Environmental Sciences, University of Exeter, Exeter, EX4 4QD, United Kingdom), (Persoons, Antoine,  The Genome Analysis Centre, Norwich Research Park, NR4 7UH, United Kingdom), (Bhattacharjee, Pallab,  Dept. of Biotechnology, Bangabandhu Sheikh Mujibur Rahman Ag Univ, Gazipur, Bangladesh), (Hossain, Shaid,  Dept. of Biotechnology, Bangabandhu Sheikh Mujibur Rahman Ag Univ, Gazipur, Bangladesh), (Gupta, Dipali,  Dept. of Biotechnology, Bangabandhu Sheikh Mujibur Rahman Ag Univ, Gazipur, Bangladesh), (Rahman, Md. Mahbubur,  Dept. of Biotechnology, Bangabandhu Sheikh Mujibur Rahman Ag Univ, Gazipur, Bangladesh), (Mahboob, M Golam,  Bangladesh Agricultural Research Institute, Joydebpur 1701, Gazipur, Bangladesh), (Cook, Nicola,  The Genome Analysis Centre, Norwich Research Park, NR4 7UH, United Kingdom), (Salam, Moin,  Department of Agriculture and Food Western Australia (DAFWA), South Perth, WA  6151, Australia), (Bueno Sancho, Vanessa,  The Genome Analysis Centre, Norwich Research Park, NR4 7UH, United Kingdom), (Nunes Maciel, Joao,  EMBRAPA Wheat/Trigo, Passo Fundo, Rio Grande do Sul, Brazil), (Nani, Antonio,  EMBRAPA Wheat/Trigo, Passo Fundo, Rio Grande do Sul, Brazil), (Castroagudin, Vanina,  University of Sao Paulo State - UNESP, Ilha Solteira Campus, Sao Paulo, Brazil), (Teodora de Assis Reges, Juliana,  University of Sao Paulo State - UNESP, Ilha Solteira Campus, Sao Paulo, Brazil), (Ceresini, Paulo,  University of Sao Paulo State - UNESP, Ilha Solteira Campus, Sao Paulo, Brazil), (Ravel, Sebastien,  CIRAD, UMR 385 BGPI, Montpellier, France), (Kellner, Ronny,  The Sainsbury Laboratory, Norwich Research Park, NR4 7UH, United Kingdom), (Fournier, Elisabeth,  INRA, UMR 385 BGPI, Montpellier, France), (Tharreau, Didier,  CIRAD, UMR 385 BGPI, Montpellier, France), (Lebrun, marc-henri,  INRA, UMR 1290 Biologie et Gestion des Risques en agriculture BIOGER, Thiverval-Grignon, France), (McDonald, Bruce,  Plant Pathology, Institute of Integrative Biology, ETH Zurich, 8092 Zurich, Switzerland), (Stitt, Tim,  The Genome Analysis Centre, Norwich Research Park, NR4 7UH, United Kingdom), (Swan, Nicholas,  The Genome Analysis Centre, Norwich Research Park, NR4 7UH, United Kingdom), (Talbot, Diane,  College of Life and Environmental Sciences, University of Exeter, Exeter, EX4 4QD, United Kingdom), (Saunders, Joe,  The Genome Analysis Centre, Norwich Research Park, NR4 7UH, United Kingdom), (Win, Sophien,  The Sainsbury Laboratory, Norwich Research Park, NR4 7UH, United Kingdom)]",https://doi.org/10.1101/059832 ,"In February 2016, a new fungal disease was spotted in wheat fields across eight districts in Bangladesh. The epidemic spread to an estimated 15,741 hectares, about 16% of cultivated wheat area in Bangladesh, with yield losses reaching up to 100%. Within weeks of the onset of the epidemic, we performed transcriptome sequencing of symptomatic leaf samples collected directly from Bangladeshi fields. Population genomics analyses revealed that the outbreak was caused by a wheat-infecting South American lineage of the blast fungus Magnaporthe oryzae. We show that genomic surveillance can be rapidly applied to monitor plant disease outbreaks and provide valuable information regarding the identity and origin of the infectious agent.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/BMC Biology/BMC Biology5.pdf,"[( 21 Jun 2016 , 13), ( 16 Sep 2016 , 1), ( 26 Jun 2016 , 1), ( 05 Dec 2016 , 1), ( 20 Jun 2016 , 28), ( 23 Jun 2016 , 7), ( 24 Jun 2016 , 1)]"
"June 19, 2016",Unsupervised Learning of Temporal Features for Word Categorization in a Spiking Neural Network Model of the Auditory Brain,PLOS ONE,"[(Higgins, Irina,  University of Oxford), (Stringer, Simon,  University of Oxford), (Schnupp, Jan,  University of Oxford)]",https://doi.org/10.1101/059840 ,"The nature of the code used in the auditory cortex to represent complex auditory stimuli, such as naturally spoken words, remains a matter of debate. Here we argue that such representations are encoded by stable spatio-temporal patterns of firing within cell assemblies known as polychronous groups, or PGs. We develop a physiologically grounded, unsupervised spiking neural network model of the auditory brain with local, biologically realistic, spike-time dependent plasticity (STDP) learning, and show that the plastic cortical layers of the network develop PGs which convey substantially more information about the speaker independent identity of two naturally spoken word stimuli than does rate encoding that ignores the precise spike timings. We furthermore demonstrate that such informative PGs can only develop if the input spatio-temporal spike patterns to the plastic cortical areas of the model are relatively stable.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/PLOS ONE/PLOS ONE142.pdf,"[( 21 Jun 2016 , 1), ( 06 Mar 2017 , 25), ( 01 Oct 2016 , 1), ( 19 Jun 2016 , 4), ( 20 Jun 2016 , 2)]"
"June 19, 2016","Novel Partitivirus Infection of Bat White-nose Syndrome

(WNS) Fungal Pathogen Pseudogymnoascus destructans

Links Eurasian and North American Isolates",Pre print,"[(Ren, Ping,  Wadsworth Center, New York State Department of Health, Albany, New York), (Rajkumar, Sunanda S.,  Wadsworth Center, New York State Department of Health, Albany, New York), (Sui, Haixin,  Wadsworth Center, New York State Department of Health, Albany, New York), (Masters, Paul S.,  Wadsworth Center, New York State Department of Health, Albany, New York), (Martinkova, Natalia,  Institute of Vertebrate Biology, Academy of Science of the Czech Republic, Konesin, Czech Republic), (Kubatova, Alena,  Department of Botany, Faculty of Science, Charles University in Prague, Praha, Czech Republic), (Pikula, Jiri,  University of Veterinary and Pharmaceutical Sciences Brno, Brno, Czech Republic), (Chaturvedi, Sudha,  Wadsworth Center, New York State Department of Health, Albany, New York)]",https://doi.org/10.1101/059709 ,"Bat White-nose Syndrome (WNS) fungus Pseudogymnoascus destructans had caused mass mortality in the North American bats. A single clone of the pathogen (Hap_1) was likely introduced in the United States while Eurasian population comprised of several haplotypes. The origin and spread of P. destructans remain enigmatic due in part to a lack of precise population markers. We searched for P. destructans mycoviruses as they are highly host-specific, and their spread could provide a window on the origin of the host fungus. We discovered a P. destructans bipartite virus PdPV-1 with two double-stranded RNA (dsRNA) segments - LS (1,683 bp) and SS (1,524 bp) with motifs similar to viral RNA-dependent RNA polymerase (RdRp) and putative capsid proteins (CPs), respectively. Both LS and SS ORFs were embedded only in the positive strand of each dsRNA segment. Sequence alignments and phylogenetic analysis suggested that both segments constitute the genome of a new virus similar to the mycoviruses in the family Partitiviridae genus Gammapartitivirus. Purified viral particles appeared as isometric virions with approximately 33 nm diameters typical of partitiviruses. A newly developed RT-PCR assay revealed that all US isolates and only a few Eurasian isolates were infected with PdPV-1. PdPV-1 was P. destructans - specific as closely related non-pathogenic fungi P. appendiculatus and P. roses tested negative. Thus, PdPV-1 establishes a link between the Eurasian and North American P. destructans. PdPV-1 could be used as an experimental tool to further investigate fungal biogeography, and the host — pathogen interactions.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/Pre print/Pre print1698.pdf,"[( 01 Jul 2016 , 1), ( 20 Jun 2016 , 1), ( 19 Jun 2016 , 5), ( 24 Dec 2016 , 1)]"
"June 19, 2016",Voodoo Machine Learning for Clinical Predictions,Pre print,"[(Saeb, Sohrab,  Northwestern University), (Lonini, Luca,  Rehabilitation Institute of Chicago / Northwestern University), (Jayaraman, Arun,  Rehabilitation Institute of Chicago / Northwestern University), (Mohr, David C,  Northwestern University), (Kording, Konrad P,  Northwestern University)]",https://doi.org/10.1101/059774 ,"The availability of smartphone and wearable sensor technology is leading to a rapid accumulation of human subject data, and machine learning is emerging as a technique to map that data into clinical predictions. As machine learning algorithms are increasingly used to support clinical decision making, it is important to reliably quantify their prediction accuracy. Cross-validation is the standard approach for evaluating the accuracy of such algorithms; however, several cross-validations methods exist and only some of them are statistically meaningful. Here we compared two popular cross-validation methods: record-wise and subject-wise. Using both a publicly available dataset and a simulation, we found that record-wise cross-validation often massively overestimates the prediction accuracy of the algorithms. We also found that this erroneous method is used by almost half of the retrieved studies that used accelerometers, wearable sensors, or smartphones to predict clinical outcomes. As we move towards an era of machine learning based diagnosis and treatment, using proper methods to evaluate their accuracy is crucial, as erroneous results can mislead both clinicians and data scientists.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/Pre print/Pre print1699.pdf,"[( 07 Jul 2016 , 3), ( 16 Nov 2016 , 1), ( 31 Aug 2016 , 1), ( 29 Jun 2016 , 2), ( 12 Jul 2016 , 2), ( 05 Jul 2016 , 1), ( 06 Aug 2016 , 1), ( 26 Dec 2016 , 1), ( 24 Jun 2016 , 1), ( 20 Jun 2016 , 35), ( 23 Jun 2016 , 3), ( 23 Nov 2016 , 2), ( 17 Aug 2016 , 1), ( 25 Nov 2016 , 1), ( 11 Jul 2016 , 1), ( 22 Jun 2016 , 14), ( 05 Aug 2016 , 1), ( 01 Jul 2016 , 2), ( 15 Feb 2017 , 1), ( 20 Nov 2016 , 1), ( 21 Jun 2016 , 20), ( 28 Jun 2016 , 3), ( 25 Jun 2016 , 1), ( 12 Aug 2016 , 1)]"
"June 19, 2016",A phenome-wide examination of neural and cognitive function,Scientific Data,"[(Poldrack, Russell,  Stanford University), (Congdon, Eliza,  UCLA), (Triplett, William,  Stanford University), (Gorgolewski, Krzysztof,  Stanford University), (Karlsgodt, Katherine,  UCLA), (Mumford, Jeanette,  University of Wisconsin - Madison), (Sabb, Fred,  University of Oregon), (Freimer, Nelson,  UCLA), (London, Edythe,  UCLA), (Cannon, Tyrone,  Yale University), (Bilder, Robert,  UCLA)]",https://doi.org/10.1101/059733 ,"This data descriptor outlines a shared neuroimaging dataset from the UCLA Consortium for Neuropsychiatric Phenomics, which focused on understanding the dimensional structure of memory and cognitive control (response inhibition) functions in both healthy individuals (138 subjects) and individuals with neuropsychiatric disorders including schizophrenia (58 subjects), bipolar disorder (49 subjects), and attention deficit/hyperactivity disorder (45 subjects). The dataset includes an extensive set of task-based fMRI assessments, resting fMRI, structural MRI, and high angular resolution diffusion MRI. The dataset is shared through the OpenfMRI project, and is formatted according to the Brain Imaging Data Structure (BIDS) standard.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/Scientific Data/Scientific Data8.pdf,"[( 21 Jun 2016 , 2), ( 20 Jun 2016 , 4), ( 27 Jun 2016 , 1), ( 15 Jul 2016 , 1), ( 19 Jun 2016 , 14)]"
"June 19, 2016",High-throughput biochemical profiling reveals Cas9 off-target binding and unbinding heterogeneity,PNAS,"[(Boyle, Evan August,  Stanford University), (Andreasson, Johan Oscar Lennart,  Stanford University), (Chircus, Lauren Mallory,  Stanford University), (Sternberg, Samuel Henry,  University of California, Berkeley), (Wu, Michelle Jennifer,  Stanford University), (Guegler, Chantal Katrin,  University of California, Berkeley), (Doudna, Jennifer Anne,  University of California, Berkeley), (Greenleaf, William James,  Stanford University)]",https://doi.org/10.1101/059782 ,"The bacterial adaptive immune system CRISPR-Cas9 has been appropriated as a versatile tool for editing genomes, controlling gene expression, and visualizing genetic loci. To analyze Cas9′s ability to bind DNA rapidly and specifically, we measured the kinetics of catalytically dead Cas9 (dCas9) interactions with a library of potential binding partners. Using a massively parallel assay of protein-DNA interactions derived from a high-throughput sequencing flow cell (HiTS-FLIP) and building on the established importance of protospacer adjacent motif (PAM) and seed recognition, we identify two PAM-distal regions, proximal and distal to the seed region, with distinct behaviors: multiple mismatches in the seed-proximal region work in a highly synergistic manner to reduce Cas9 association whereas seemingly tolerated mismatches in the distal region precipitate comparatively rapid dissociation of Cas9. Together, these observations support a model for Cas9 specificity wherein gRNA-DNA mismatches at distinct domains of PAM-distal bases modulate different biophysical parameters of association and dissociation, opening the possibility of kinetic and thermodynamic tuning of the Cas9-DNA interaction and quantitative prediction of off-target binding behaviors.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/PNAS/PNAS59.pdf,"[( 21 Jun 2016 , 2), ( 30 May 2017 , 1), ( 20 Jun 2016 , 19), ( 19 Jun 2016 , 14), ( 22 Jun 2016 , 3), ( 24 Jun 2016 , 3), ( 07 Dec 2016 , 1), ( 23 Jun 2016 , 8)]"
"June 19, 2016","The Precision Medicine Knowledge Base: an online application for collaborative editing, maintenance and sharing of structured clinical-grade cancer mutations interpretations",Pre print,"[(Huang, Linda,  Weill Cornell Medicine), (Fernandes, Helen,  Weill Cornell Medicine), (Zia, Hamid,  Weill Cornell Medicine), (Tavassoli, Peyman,  Weill Cornell Medicine), (Rennert, Hanna,  Weill Cornell Medicine), (Pisapia, David,  Weill Cornell Medicine), (Imielinski, Marcin,  Weill Cornell Medicine), (Sboner, Andrea,  Weill Cornell Medicine), (Rubin, Mark A,  Weill Cornell Medicine), (Kluk, Michael,  Weill Cornell Medicine), (Elemento, Olivier,  Weill Cornell Medicine)]",https://doi.org/10.1101/059824 ,"This paper describes the Precision Medicine Knowledge Base (PMKB; https://pmkb.weill.cornell.edu), an interactive online application for collaborative editing, maintenance and sharing of structured clinical-grade cancer mutations interpretations.  PMKB was built using the Ruby on Rails Web application framework. Leveraging existing standards such as Human Genome Variation Society (HGVS) variant description format, we implemented a data model that links variants to tumor-specific and tissue-specific interpretations. Key features of PMKB include support for all major variant types, standardized authentication, distinct user roles including high-level approvers, detailed activity history. A REpresentational State Transfer (REST) application-programming interface (API) was implemented to query the PMKB programmatically. At the time of writing, PMKB contains 457 variant descriptions with 281 clinical-grade interpretations. The EGFR, BRAF, KRAS, and KIT genes are associated with the largest numbers of interpretable variants. The PMKB interpretations have been used in over 1,500 AmpliSeq tests and 750 whole exome sequencing tests. The interpretations are accessed either directly via the Web interface or programmatically via the existing API. An accurate and up-to-date knowledge base of genomic alterations of clinical significance is critical to the success of precision medicine programs. The open-access, programmatically accessible PMKB represents an important attempt at creating such a resource in the field of oncology. The PMKB was designed to help collect and maintain clinical-grade mutation interpretations and facilitates reporting for clinical cancer genomic testing. The PMKB was also designed to enable the creation of clinical cancer genomics automated reporting pipelines via an API.",/Users/lynnyi/Documents/Projects/biorxiv-data-mining/downloads/Pre print/Pre print1700.pdf,"[( 04 Oct 2016 , 1), ( 05 Oct 2016 , 1), ( 20 Jun 2016 , 13), ( 21 Jul 2016 , 1), ( 22 Jun 2016 , 1), ( 19 Jun 2016 , 16), ( 29 Jun 2016 , 1), ( 24 Aug 2016 , 2)]"
